-1016,52;-9,16;*
-1019,08;-2,24;+
-1040,81;7,89;*
-1123,87;4,98;+
-1124,60;-1,79;/
-1125,27;-6,78;-
-1163,30;2,55;/
-1166,59;-4,08;-
-1196,77;-3,50;-
-1248,52;-4,04;+
-1316,16;8,25;-
-1326,86;3,42;+
-1329,94;6,77;+
-1341,32;1,63;+
-1344,74;3,95;+
-1356,05;9,66;+
-1372,47;5,00;^
-1393,36;7,62;-
-1395,78;-1,33;/
-14,95;6,57;*
-1436,64;-9,49;*
-1461,40;-8,85;/
-1476,67;8,79;/
-1503,82;-2,28;*
-152,95;1,63;+
-1524,14;4,24;+
-1561,74;0,78;*
-159,04;3,71;-
-1628,38;7,84;/
-1634,40;9,10;/
-164,07;7,42;+
-1712,21;5,59;/
-1783,84;-6,90;+
-181,81;9,78;/
-1817,01;2,87;+
-1940,13;4,72;-
-1959,69;-2,20;+
-2009,11;-6,10;-
-2023,74;4,59;-
-2042,52;4,63;/
-2070,19;8,76;-
-2095,35;0,75;*
-2095,61;2,74;+
-2161,16;5,65;/
-2209,78;5,00;^
-221,70;-1,65;-
-2238,95;-4,34;*
-2246,91;-0,26;+
-2265,18;-10,00;^
-2323,21;-5,43;-
-2346,61;4,20;*
-237,15;-7,79;/
-2479,03;6,29;+
-2514,25;-9,16;-
-2607,28;-9,14;+
-2672,34;9,25;-
-2737,32;-2,07;+
-276,07;6,73;/
-277,24;-7,85;*
-2801,66;7,41;/
-2906,42;4,45;/
-3011,37;6,25;+
-3040,87;9,00;^
-3095,03;-8,91;*
-3101,40;-7,29;-
-3155,66;-4,00;^
-3176,93;-9,07;-
-3189,41;-3,28;*
-3196,41;-1,96;-
-3206,22;9,11;-
-3295,71;-1,34;/
-3368,39;-2,22;*
-3383,39;-1,00;^
-3388,46;0,41;/
-3433,20;-8,70;/
-3583,12;-0,93;+
-3601,96;-5,07;+
-3641,28;-2,21;/
-366,32;-6,00;^
-3765,26;3,99;+
-3802,64;6,20;*
-3817,40;4,92;+
-3827,94;1,00;^
-3849,08;7,06;-
-3854,34;9,23;*
-3891,56;3,82;/
-3924,36;-8,00;^
-3926,17;7,46;/
-3943,22;-7,01;*
-4,33;5,32;/
-4016,04;-0,45;-
-4025,02;5,00;^
-4045,52;-8,93;/
-4046,89;-8,60;-
-4140,44;-5,05;*
-4235,08;7,65;+
-4248,03;6,57;+
-4363,10;6,09;-
-4389,43;-5,54;*
-4410,10;9,00;^
-4428,18;6,00;^
-4457,97;-9,62;+
-4495,06;7,96;-
-4499,34;9,00;^
-4522,22;9,15;-
-4626,73;-9,00;^
-4669,18;-2,94;/
-4674,92;5,41;-
-4678,45;2,23;-
-4717,09;8,34;-
-4717,91;-7,77;/
-4816,44;-4,19;*
-4819,32;2,20;-
-482,70;-0,57;-
-4873,71;6,33;-
-4960,37;-3,60;/
-499,22;-8,00;^
-4996,54;-7,61;*
-537,62;7,15;+
-614,51;8,25;*
-655,86;-9,61;*
-663,16;-9,78;*
-668,62;4,18;/
-756,21;8,85;/
-777,78;-0,01;*
-811,25;-7,00;^
-869,40;4,00;^
-889,96;-9,55;*
-907,25;7,92;/
-963,41;2,97;/
-982,00;-1,49;-
-991,88;1,33;-
1004,86;-2,70;-
1017,98;-4,92;-
1023,78;-0,01;*
105,84;-9,66;*
1091,03;-6,18;-
1132,34;-2,35;*
1213,55;-3,66;+
125,90;2,58;/
1288,96;1,00;^
1339,14;1,43;+
1350,95;3,81;+
138,69;-9,96;/
1421,91;8,00;^
1448,29;-0,59;+
1582,52;3,94;-
1609,43;9,66;/
1709,47;-5,50;-
1745,04;-2,16;-
1770,14;-4,85;-
1810,48;-3,84;+
187,77;2,81;+
1991,39;-7,14;/
2003,43;7,14;/
2012,48;5,36;/
2079,82;-9,39;-
21,81;-3,88;-
2117,57;5,74;*
2175,15;3,39;-
220,26;-2,05;+
2201,78;8,71;-
2217,09;1,67;/
2379,78;6,34;-
2396,73;9,12;+
2412,85;8,00;^
247,46;-1,78;-
247,86;-9,86;-
2591,11;-6,49;+
2609,56;-9,94;-
2611,68;-3,07;+
2642,84;-3,41;*
2671,69;6,94;/
2684,30;2,39;-
2692,41;2,09;/
2738,48;2,00;^
2743,88;-2,39;+
2775,59;1,29;-
2777,93;-9,49;+
2781,56;-2,25;+
2843,89;-5,86;-
3001,44;-6,96;-
3016,91;9,68;-
3090,76;5,90;+
3163,03;5,05;-
3195,31;4,51;+
3220,01;5,85;/
3225,20;-3,67;/
3240,05;4,56;-
3296,68;-1,68;*
3400,59;-7,67;+
341,18;-8,34;*
3495,85;-3,81;+
